objid,ra,dec,u,g,r,i,z,class,redshift,pre_uv_mag,pre_uv_wave,pre_uv_source,pre_green_mag,pre_green_wave,pre_green_source,log_L_bolometric,intrinsic_color_index,rest_color_span_nm
1237651800159813910,148.707503067644,-0.730636268640502,21.58824,20.26091,19.22899,18.92067,18.7536,QSO,1.287415,-26.5832576452474,327.0066865872612,i,-26.750327645247403,390.39702021714464,z,12.23337825809896,0.1670700000000025,63.39033362988346
1237648720143253649,148.573598963942,-0.899012875454224,20.31309,18.37328,17.4641,17.03503,16.70817,GALAXY,0.08971591,-17.79643378863894,325.7729805927125,u,-19.736243788638937,430.3874025295272,g,9.984315915455577,1.9398099999999978,104.61442193681472
1237648720143253733,148.666898920115,-0.899090689932191,19.12204,17.27628,16.30334,15.86619,15.52822,GALAXY,0.09342866,-19.082922862555503,324.6668145684054,u,-20.928682862555505,428.9260169931891,g,10.486299545022204,1.845760000000002,104.25920242478367
1237648720143253697,148.646278608578,-1.04687846210599,20.78703,18.74242,17.52187,17.04373,16.63119,GALAXY,0.1528665,-18.602036706206377,307.9281078945394,u,-20.64664670620638,406.8120636691239,g,10.42952748248255,2.0446100000000023,98.88395577458454
1237651800159748237,148.598646234446,-0.732283715112384,18.77262,17.58625,17.1231,16.82227,16.61798,GALAXY,0.04655848,-17.82480146935541,339.2070359985999,u,-19.01117146935541,448.1354926291362,g,9.617190987742166,1.1863700000000001,108.92845663053629
1237648721753276559,147.305556696892,0.217659364287284,18.36063,17.22968,16.69767,16.42737,16.30265,GALAXY,0.0199993,-16.346053341194697,348.03945453688056,u,-17.4770033411947,459.8042371205549,g,9.01323333647788,1.1309500000000021,111.76478258367433
1237648721753210967,147.192888304251,0.271932852138655,16.63782,15.67488,15.26671,15.07679,14.89407,GALAXY,0.02016207,-18.08681144959853,347.9839237700731,u,-19.04975144959853,459.73087393849096,g,9.617830979839413,0.9629399999999997,111.74695016841787
1237650796220514483,147.314461143552,0.174848250810752,19.37016,17.88445,17.17457,16.77317,16.51531,GALAXY,0.08467233,-18.603650358288192,327.2877810020285,u,-20.08936035828819,432.38864588718695,g,10.104111343315276,1.4857099999999974,105.10086488515844
1237648721753276514,147.248284780376,0.311440425261541,20.73454,18.81208,17.41183,16.83851,16.39653,GALAXY,0.1919537,-21.143809366442675,393.47165917602337,g,-22.54405936644268,517.6375558882866,r,10.698876546577072,1.4002500000000069,124.16589671226319
1237648721753211064,147.128310200138,0.369214353332349,18.33496,16.86486,16.12504,15.7163,15.41633,GALAXY,0.06984089,-19.19079478687757,331.8250436286839,u,-20.66089478687757,438.38294496296544,g,10.345702714751027,1.4700999999999986,106.55790133428155
1237650796220514478,147.308287852533,0.151172345983217,19.27359,17.37493,16.41277,15.98488,15.62931,GALAXY,0.08016862,-18.572499818505836,328.6523913275688,u,-20.471159818505832,434.1914691059994,g,10.296397527402332,1.898659999999996,105.53907777843057
1237648721753276576,147.326755773096,0.245529516761134,18.68131,17.26695,16.54334,16.1431,15.88703,GALAXY,0.09284572,-19.508903718078148,324.8399966282524,u,-20.923263718078147,429.1548124469024,g,10.446347087231258,1.4143599999999985,104.31481581865
1237648721753276652,147.329555865503,0.324450557077608,23.20773,20.92197,18.92172,18.25668,17.82692,GALAXY,0.365943,-20.730870102011032,343.3525410650371,g,-22.731120102011037,451.7025966676501,r,10.662334440804411,2.0002500000000047,108.350055602613
1237650796757385500,147.265340054179,0.465754785623371,19.59912,18.20925,17.60017,17.18914,16.90136,GALAXY,0.07368669,-18.050823086571118,330.63649135857315,u,-19.440693086571116,436.8127167525938,g,9.832054034628444,1.3898699999999984,106.17622539402066
1237651801769705649,147.186669265461,0.587921570363063,18.06862,17.64849,17.93636,18.07474,18.33906,STAR,0.0001449878,-5.896962111634604,354.94853679253725,u,-6.317092111634604,468.93201057943656,g,4.312851244653841,0.42013000000000034,113.98347378689931
1237648721753276447,147.238829077031,0.37375546883668,18.9361,18.59122,18.42903,18.18872,18.16567,QSO,0.5838438,-24.55962510493081,389.5586168282504,r,-24.799935104930807,472.2687931726601,i,11.742602841972325,0.24030999999999736,82.71017634440966
1237650796757319859,147.16764627133,0.471699488442496,19.44095,18.30838,18.26834,18.29951,18.37789,STAR,1.36942e-05,0.5996269348283754,354.9951386255726,u,-0.5329430651716258,468.9935775081509,g,2.0529236260686505,1.1325700000000012,113.99843888257828
1237650796757319831,147.12736721095,0.504490243447069,19.76709,18.15375,17.27558,16.81655,16.50537,GALAXY,0.08605687,-18.24471056371554,326.8705440811769,u,-19.85805056371554,431.8374230255548,g,10.055253025486216,1.6133400000000009,104.96687894437792
1237650796757320031,147.179934189329,0.49302165330203,19.13928,18.18612,17.82436,17.5677,17.45352,GALAXY,0.06260023,-18.13405916933124,334.0861313384056,u,-19.08721916933124,441.3701284442598,g,9.627657267732497,0.9531600000000005,107.28399710585421
1237648721753276550,147.293924556116,0.381339520610201,20.52401,18.90475,17.9035,17.37163,16.95411,GALAXY,0.1098582,-18.06509986732844,319.8606813014492,u,-19.68435986732844,422.5765057193793,g,10.035003946931376,1.6192600000000006,102.71582441793015
1237650796757319865,147.180091123858,0.429634757493588,18.62233,16.76626,15.85853,15.42286,15.11818,GALAXY,0.06333868,-18.677983098857457,333.8541206833556,u,-20.53405309885746,441.0636129591373,g,10.309072439542982,1.8560700000000026,107.20949227578171
1237648721753211085,147.15058330411,0.416565392858097,18.54785,16.8902,16.04284,15.58536,15.23375,GALAXY,0.06453946,-18.79569545570952,333.477539667717,u,-20.45334545570952,440.56610170185706,g,10.285418182283806,1.6576500000000003,107.08856203414007
1237651801769705929,147.170669396422,0.531135626340862,22.54771,25.11407,21.04691,23.57851,18.03092,GALAXY,0.104128,-15.913834749049006,321.52069325295616,u,-13.347474749049002,424.7695919313703,g,8.491168299619602,-2.566360000000003,103.24889867841415
1237648722290016499,147.021648789342,0.754459845645703,17.86546,15.69004,14.62792,14.13005,13.7438,GALAXY,0.06200635,-19.385966401601948,334.27295420597056,u,-21.561386401601947,441.6169451340851,g,10.74798896064078,2.175419999999999,107.34399092811452
1237651752385315031,147.074439385566,0.885212772864989,19.32862,17.85054,17.00941,16.55954,16.23927,GALAXY,0.09820835,-18.994155777005247,323.2537796675831,u,-20.47223577700525,427.0592187721028,g,10.3021199108021,1.478080000000002,103.80543910451968
1237648722289950973,146.842231508342,0.74082125510891,18.98516,17.34394,16.56421,16.20214,15.89514,GALAXY,0.02013125,-15.736083966214643,347.9944369903383,u,-17.377303966214644,459.74476323512295,g,9.02125038648586,1.6412200000000006,111.75032624478467
1237651752385183972,146.84077585413,0.88622937077932,18.54118,16.9458,16.13183,15.66415,15.37131,GALAXY,0.06234466,-18.722753497343344,334.1665029878345,u,-20.318133497343347,441.4763095811109,g,10.225231798937338,1.5953800000000022,107.30980659327639
1237651752385249517,146.902072628484,0.899749377046136,22.20631,19.38074,17.79768,17.15988,16.73457,GALAXY,0.2195055,-20.91601584650086,384.58211135579137,g,-22.49907584650086,505.9427776258492,r,10.588367938600342,1.5830599999999997,121.36066627005783
1237648722290081911,147.080470586581,0.788027565123839,20.74845,18.7017,17.29048,16.71375,16.32483,GALAXY,0.2109481,-21.49341573809776,387.2998355586008,g,-22.90463573809776,509.5181205536389,r,10.827709495239104,1.4112200000000001,122.21828499503806
1237648722290016542,147.031984259282,0.775342387053558,19.88626,17.49417,16.25766,15.75419,15.33567,GALAXY,0.1431519,-19.341855292808795,310.54490658678,u,-21.733945292808794,410.26918644845017,g,10.845010117123516,2.3920899999999996,99.7242798616702
1237650797294059543,146.82658212024,1.00991261808453,20.27353,19.55026,19.29927,19.13818,18.88516,QSO,0.8608898,-24.88268108541997,331.56181521334577,r,-25.296791085419976,479.8779594578895,z,11.833068434167991,0.4141100000000044,148.31614424454375
1237650797294125296,146.94867591168,1.00454095716705,22.62876,21.10172,19.10188,18.37774,17.96485,GALAXY,0.3351803,-20.310982003314983,351.2634211274687,g,-22.310822003314986,462.1098738499961,r,10.563084801325994,1.9998400000000025,110.84645272252743
1237650797294125638,147.064032299063,0.939646965253932,24.14815,21.59537,19.78827,18.99061,18.51468,GALAXY,0.4442369,-20.599505331177635,324.73896768598007,g,-22.406605331177637,427.21523040991406,r,10.566983732471051,1.807100000000002,102.47626272393398
1237650797293731937,146.157113462313,0.937048723731845,15.26225,14.06855,13.74448,13.64112,13.63398,GALAXY,0.0,2.103637831372408,354.99964500035503,u,0.9099378313724084,468.99953100046906,g,1.5674144674510369,1.1936999999999993,113.99988600011403
1237648722826887283,146.937212355376,1.1076832856482,20.46099,18.21928,16.86823,16.3288,15.95497,GALAXY,0.1621326,-21.31496015389453,403.5684051888743,g,-22.66601015389453,530.9204818796064,r,10.719114461557812,1.3510500000000008,127.35207669073213
1237650797294059831,146.931712574411,1.03521625737266,19.85714,18.46004,17.83956,17.48979,17.34338,GALAXY,0.02719446,-15.532135536629426,345.60155240712646,u,-16.929235536629427,456.5834593773023,g,8.808517414651773,1.3971000000000018,110.98190697017583
1237648722826821825,146.809879916504,1.07274633273265,23.32233,20.34053,18.56525,17.92807,17.5243,GALAXY,0.2994555,-20.76854852547939,360.92040089098856,g,-22.54382852547939,474.81425874144975,r,10.561193010191756,1.7752800000000022,113.89385785046119
1237650797294059733,146.903700300034,1.035365036221,21.75445,19.24906,18.03923,17.48295,17.02077,GALAXY,0.1233801,-17.11301921840178,316.0105827048209,u,-19.61840921840178,417.49003743256617,g,9.995270887360713,2.5053899999999985,101.47945472774529
1237648722826887364,146.906378011036,1.12496877608997,21.42321,19.0803,17.77396,17.23529,16.85468,GALAXY,0.1636551,-20.477079102504824,403.0403854200442,g,-21.783419102504823,530.2258375355378,r,10.365556441001928,1.3063399999999987,127.18545211549366
1237648722290016425,146.933993213075,0.818875152300838,21.69459,19.17213,17.92229,17.37928,16.97496,GALAXY,0.1542999,-17.71744151033963,307.5457253353309,u,-20.23990151033963,406.3068878373809,g,10.245352604135851,2.5224600000000024,98.76116250204996
1237650796757319821,147.113105947342,0.44012016775257,20.03711,18.1584,17.28183,16.8257,16.5104,GALAXY,0.06238846,-17.22843804825804,334.1527260188801,u,-19.10714804825804,441.4581084587458,g,9.733144019303218,1.878709999999998,107.3053824398657
1237648721753145550,146.957655652356,0.39335310955137,18.62672,17.24185,16.66062,16.28336,16.01912,GALAXY,0.06987419,-18.9001374824013,331.8147155227663,u,-20.285007482401294,438.3693002258518,g,10.15620939296052,1.3848699999999958,106.55458470308554
1237648721753145376,146.902898425266,0.208910268160014,20.13488,17.77816,16.62261,16.04933,15.6056,GALAXY,0.08021138,-17.71245367961895,328.63938167361283,u,-20.06917367961895,434.17428170401246,g,10.17568707184758,2.3567199999999993,105.53490003039963
1237648721753145447,146.978324277429,0.388983059090204,20.33783,18.60011,17.97433,17.48784,17.43337,GALAXY,0.07030654,-17.203299520395905,331.6806790697551,u,-18.941019520395905,438.1922210808877,g,9.601773408158364,1.7377199999999995,106.51154201113258
1237648721753080096,146.887742376565,0.217453980542903,19.52121,17.7441,16.88671,16.40612,16.02948,GALAXY,0.06296776,-17.76559168007493,333.9706182622133,u,-19.54270168007493,441.2175210281072,g,9.919711072029973,1.7771100000000004,107.24690276589394
1237651801232835248,147.091606716561,0.207672307279979,25.56801,24.24328,19.98705,24.6063,22.93532,GALAXY,0.3702054,-17.441472117386716,342.28444874031294,g,-21.697702117386715,450.2974517543136,r,9.218704046954688,4.256229999999999,108.01300301400067
1237648721753080143,146.89534746786,0.35897633546011,21.53912,19.32369,17.8996,17.31337,16.87775,GALAXY,0.2048412,-20.796655603789503,389.2629169719628,g,-22.220745603789503,512.1006818159937,r,10.543855841515802,1.4240899999999996,122.83776484403086
1237651801769640294,147.038915114356,0.525585873379581,23.9835,24.90713,18.69952,24.81985,23.59591,GALAXY,0.06346273,-13.321315120368148,333.8151775191972,u,-12.397685120368148,441.01216410282666,g,7.57345324814726,-0.9236299999999993,107.19698658362944
1237650796220383270,147.013562828741,0.155381787445674,19.13264,17.85274,17.31403,17.08397,16.97328,STAR,0.001112312,-9.259517122473383,354.6055679714785,u,-10.53941712247338,468.4789052918969,g,6.220330048989354,1.279899999999996,113.87333732041844
1237648722290016415,146.91732084942,0.694847283168714,20.85308,18.87157,17.81764,17.27992,16.77733,GALAXY,0.06181516,-16.391249593930645,334.33314325630835,u,-18.372759593930645,441.6964624991792,g,9.501768637572258,1.98151,107.36331924287083
1237651801769575805,146.86061153406,0.524703748299441,23.4817,25.11319,23.9752,19.68152,22.84928,GALAXY,0.3384775,-16.326124395460088,350.3981202523016,g,-17.464114395460086,460.971514276482,r,9.299654558184036,1.1379899999999985,110.5733940241804
1237648722290016594,147.022813496731,0.660929126671655,22.48146,20.081,18.34505,17.70939,17.30834,GALAXY,0.3129872,-21.146545343027515,357.20074041849,g,-22.882495343027514,469.9208034929815,r,10.748998937211006,1.735949999999999,112.72006307449152
1237648721753080080,146.876925265591,0.361581671057064,18.85666,17.66109,17.03763,16.57114,16.35331,GALAXY,0.1258487,-20.058593819098338,315.31767989784066,u,-21.254163819098338,416.57462499179513,g,10.579715127639336,1.19557,101.25694509395447
1237650796757188777,146.87101722981,0.422517135205594,20.87058,19.06251,18.09813,17.67353,17.34853,GALAXY,0.1242851,-18.01450760286432,315.7562081005965,u,-19.82257760286432,417.1539763357177,g,10.041772641145728,1.8080700000000007,101.39776823512119
